Nome físico;Data Type;Descrição
identificador_pessoa;int;Número que identifica unicamente um servidor, aposentado ou pensionista no conjunto de arquivos.
nome_pessoa;string;Nome completo do aposentado ou militar da reserva/reforma.
numero_cpf;string;CPF (com máscara) do aposentado ou militar da reserva/reforma.
numero_matricula;string;Matrícula (com máscara) do aposentado ou militar da reserva/reforma.
codigo_tipo_aposentadoria;int;Código do Tipo de Aposentadoria. Exemplos: 1 - voluntária, 2 - compulsória, 3 - invalidez.
nome_tipo_aposentadoria;string;Descrição do Tipo de Aposentadoria.
data_aposentadoria;date;Data da aposentadoria (civis) ou de início da reserva/reforma (militares).
nome_cargo;string;Descrição do cargo ocupado do inativo quando em atividade.
codigo_unidade_organizacional_lotacao;bigint;Código da unidade organizacional onde o inativo era lotado quando em atividade.
nome_unidade_organizacional_lotacao;string;Nome da unidade organizacional onde o inativo era lotado quando em atividade.
codigo_orgao_lotacao;int;Código do órgão onde o inativo era lotado quando em atividade.
nome_orgao_lotacao;string;Nome do órgão onde o inativo era lotado quando em atividade.
codigo_orgao_superior_lotacao;int;Código do órgão superior* onde o inativo era lotado quando em atividade.
nome_orgao_superior_lotacao;string;Nome do órgão superior* onde o inativo era lotado quando em atividade.
codigo_tipo_vinculo;int;5 - Aposentado (civil), 6 - Reserva/Reforma (Militar)
nome_tipo_vinculo;string;Descrição dos tipos de vínculo.
nome_situacao_vinculo;string;Situação do vínculo do inativo indicando, para os Militares, se Reserva ou Reforma.
nome_regime_juridico;string;Regime Jurídico do inativo quando em atividade. Exemplos: Regime Jurídico Único, Consolidação das Leis do Trabalho, Contrato Temporário, Médico Residente.
nome_jornada_trabalho;string;Jornada semanal de trabalho do inativo quando em atividade.
data_ingresso_cargo_funcao;date;Data de ingresso do inativo no cargo ou função da atividade.
data_ingresso_orgao;date;Data de ingresso do inativo no órgão.
nome_documento_ingresso_servico_publico;string;Documento de ingresso do inativo no serviço público.
data_diploma_ingresso_servico_publico;date;Data do diploma de ingresso do inativo no serviço público.
codigo_diploma_ingresso_orgao;string;Diploma de ingresso do inativo no órgão.
codigo_diploma_ingresso_servico_publico;string;Diploma de ingresso do inativo no serviço público.
anomes;int;Ano e mês de referência dos dados.
